
                        整租 | 地铁口 时代倾城一期 居家装修 保养很好 陪读居家都                    

                        整租 | 居家装修 1号地铁800米 温馨舒适三房 钥匙在手                     

                        单间 | 免租一个月 可短租 公安局金霞小区 伍家岭 近地铁交                    

                        整租 | 后湖小区精装大三房  有电梯适合合租                    

                        整租 | 整租 梅溪湖创新中心 近地铁口 精装四房 天祥水晶湾                    

                        整租 | 湘熙水郡精装三房，钥匙在手随时看房，陪读居家工作好房                    

                        单间 | 华悦城，双塔国际广场，房东单间非中介，押一付一，可短                    

                        整租 | 正五一广场 180平新世界百货 供销大厦工作室出租!                    

                        单间 | 免租一个月 可短租 恒大雅苑 广电中心 近地铁交通便                    

                        整租 | 时代倾城(一期) 3室2厅2卫 2000元月 包物业                    

                        整租 | 人民东路正地铁口，办公好房，半层600平，交通便利，                    

                        整租 | 文景领秀 2室2厅1卫 1700元月 配套齐全 电梯                    

                        整租 | 榔梨蓝思科技，高峰汽配城，高峰领寓带燃气入户，精装两                    

                        单间 | 免租一个月 可短租 东岸梅园 汽车东站 近地铁交通便                    

                        单间 | 可短租  可月付 高档小区 滨河嘉园 精装修 近马厂                    

                        整租 | 御景名城 4室2厅2卫 2100元月 电梯房 精装修                    

                        整租 | 真 房源！广益中学陪读房 年前新出干净整洁三房两厅出                    

                        整租 | 锦泰广场 众立小区 大三室 精装修 拎包入住 交通方                    

                        整租 | 电梯房！大三房 办公 宿舍房万家丽芙蓉公寓住宅小区！                    

                        整租 | 精装3室  随时看房 近中电软件芯城科技企业广场新长                    

                        整租 | 时代倾城二期 2室2厅1卫 精装修  离地铁口近 拎                    

                        整租 | 中盈广场湘熙水郡品质小区自住三房，中加学校，设计院雅                    

                        整租 | 步步高新天地 花样汇 涉外经济学院 一师范 麓谷企业                    

                        整租 | 万科品质 金域缇香大4房 中南门口 一线江景 家电齐                    

                        单间 | 可短租 树木岭地铁口 独立阳台 超大空间 可做饭 包                    

                        单间 | 免租一个月 可短租 银港水晶城(B区) 万家丽 近地                    

