,MAKE,YEAR,MODEL,TRIM,BODY
0,Mini,2021,Convertible,Cooper S,Convertible
1,Mini,2021,Convertible,Cooper S,Convertible
2,Mini,2021,Hardtop 2 Door,Cooper,Hatchback
3,Mini,2021,Hardtop 2 Door,Cooper SE,Hatchback
4,Mini,2021,Hardtop 4 Door,Cooper S,Hatchback
5,Porsche,2021,Cayenne,S,SUV
6,Porsche,2021,Cayenne,NULL,SUV
7,RAM,2021,1500,Tradesman,Ext. Cab Pickup
8,RAM,2021,ProMaster 2500 Cargo,Cargo High Roof 159WB,Cargo Van
9,RAM,2021,ProMaster 3500 Cargo,High Roof 159WB,Cargo Van
10,RAM,2021,Promaster City,Cargo Tradesman,Cargo Van
11,RAM,2021,Promaster City,Wagon SLT,Passenger Van
12,Subaru,2021,Ascent,Premium 8- Passenger,SUV
13,Subaru,2021,Ascent,Premium 7- Passenger,SUV
14,Subaru,2021,Ascent,8- Passenger,SUV
15,Subaru,2021,Ascent,Touring 7- Passenger,SUV
16,Subaru,2021,Ascent,Limited 8- Passenger,SUV
17,Subaru,2021,Ascent,Limited 7-Passenger,SUV
18,Subaru,2021,Crosstrek,Limited,CUV
19,Subaru,2021,Crosstrek,Sport,CUV
20,Subaru,2021,Crosstrek,Premium,CUV
21,Subaru,2021,Crosstrek,Base,CUV
22,Subaru,2021,Forester,2.5i Sport,CUV
23,Subaru,2021,Forester,2.5i Touring,CUV
24,Subaru,2021,Forester,2.5i Premium,CUV
25,Subaru,2021,Forester,2.5i,CUV
26,Subaru,2021,Forester,2.5i Limited,CUV
27,Subaru,2021,Impreza,2.0i Sport,Sedan
28,Subaru,2021,Impreza,2.0i Sport,Hatchback
29,Subaru,2021,Impreza,2.0i Sport,Hatchback
30,Subaru,2021,Impreza,2.0i Limited,Sedan
31,Subaru,2021,Impreza,2.0i Limited,Hatchback
32,Subaru,2021,Impreza,2.0i,Sedan
33,Subaru,2021,Impreza,2.0i,Hatchback
34,Subaru,2021,Impreza,Premium,Sedan
35,Subaru,2021,Impreza,Premium,Hatchback
36,Subaru,2021,Legacy,2.4T Touring XT,Sedan
37,Subaru,2021,Legacy,2.4T Limited XT,Sedan
38,Subaru,2021,Legacy,2.5i Limited,Sedan
39,Subaru,2021,Legacy,2.5i Premium,Sedan
40,Subaru,2021,Legacy,2.5i Sport,Sedan
41,Subaru,2021,Legacy,2.5i,Sedan
42,Subaru,2021,Outback,Touring XT,Wagon
43,Subaru,2021,Outback,Limited XT,Wagon
44,Subaru,2021,Outback,2.5i Touring,Wagon
45,Subaru,2021,Outback,2.5i Limited,Wagon
46,Subaru,2021,Outback,2.5i Premium,Wagon
47,Subaru,2021,Outback,Onyx XT,Wagon
48,Subaru,2021,Outback,2.5i,Wagon
49,Toyota,2021,4Runner,SR5 Premium,SUV
50,Mini,2020,Convertible,Cooper S,Convertible
51,Mini,2020,Countryman,Cooper S,CUV
52,Mini,2020,Hardtop 2 Door,Cooper S,Hatchback
53,Mini,2020,Hardtop 2 Door,Cooper,Hatchback
54,Mini,2020,Hardtop 4 Door,Cooper,Hatchback
55,Mini,2020,Hardtop 4 Door,Cooper S,Hatchback
56,Mitsubishi,2020,Eclipse Cross,SE 1.5T S-AWC,CUV
57,Mitsubishi,2020,Eclipse Cross,LE,CUV
58,Mitsubishi,2020,Outlander,SEL 2.4,CUV
59,Mitsubishi,2020,Outlander,SE 2.4,CUV
60,Mitsubishi,2020,Outlander PHEV,GT S-AWC,CUV
61,Mitsubishi,2020,Outlander Sport,ES 2.0,CUV
62,Mitsubishi,2020,Outlander Sport,SE 2.0,CUV
63,Nissan,2020,370Z,Sport Touring,Coupe
64,Nissan,2020,370Z,Nismo,Coupe
65,Nissan,2020,Altima,2.5 SR,Sedan
66,Nissan,2020,Altima,2.5 SL,Sedan
67,Nissan,2020,Altima,2.5 Platinum,Sedan
68,Nissan,2020,Armada,Platinum,SUV
69,Nissan,2020,Armada,SV,SUV
70,Nissan,2020,Frontier,SV 4-Cylinder,Ext. Cab Pickup
71,Nissan,2020,Frontier,SV,Crew Cab Pickup
72,Nissan,2020,GT-R,Premium 50th Anniversary,Coupe
73,Nissan,2020,Kicks,SV,CUV
74,Nissan,2020,Kicks,SR,CUV
75,Nissan,2020,LEAF,S Plus,Hatchback
76,Nissan,2020,LEAF,SV,Hatchback
77,Nissan,2020,Maxima,Platinum,Sedan
78,Nissan,2020,Maxima,SR,Sedan
79,Nissan,2020,Murano,SL,CUV
80,Nissan,2020,Murano,Platinum,CUV
81,Nissan,2020,NV Passenger,SL,Passenger Van
82,Nissan,2020,NV Passenger,S V6,Passenger Van
83,Nissan,2020,NV200 Compact Cargo,SV,Cargo Van
84,Nissan,2020,NV2500 HD,SV V6,Cargo Van
85,Nissan,2020,Pathfinder,Platinum,SUV
86,Nissan,2020,Pathfinder,S,SUV
87,Nissan,2020,Rogue,SV,CUV
88,Nissan,2020,Rogue,SL,CUV
89,Nissan,2020,Rogue Sport,SL,CUV
90,Nissan,2020,Rogue Sport,SV,CUV
91,Nissan,2020,Sentra,SR,Sedan
92,Nissan,2020,Sentra,S,Sedan
93,Nissan,2020,Sentra,SV,Sedan
94,Nissan,2020,Titan,SV,Crew Cab Pickup
95,Nissan,2020,Titan,PRO-4X,Crew Cab Pickup
96,Nissan,2020,Titan XD,Platinum Reserve,Crew Cab Pickup
97,Nissan,2020,Versa,S,Sedan
98,Nissan,2020,Versa,SR,Sedan
99,Nissan,2020,Versa,SV,Sedan
100,Jeep,2021,Grand Cherokee,Overland,SUV
101,Jeep,2021,Grand Cherokee,Limited,SUV
102,Jeep,2021,Wrangler,Sport,SUV
103,Kia,2021,Forte,GT-Line,Sedan
104,Kia,2021,K5,LXS,Sedan
105,Kia,2021,K5,GT-Line,Sedan
106,Kia,2021,Sedona,LX,Minivan
107,Kia,2021,Sedona,SX,Minivan
108,Kia,2021,Seltos,EX,CUV
109,Kia,2021,Seltos,S Turbo,CUV
110,Kia,2021,Soul,GT-Line,Wagon
111,Kia,2021,Soul,S,Wagon
112,Kia,2021,Soul,X-Line,Wagon
113,Kia,2021,Sportage,S,CUV
114,Kia,2021,Sportage,EX,CUV
115,Kia,2021,Stinger,GT2,Sedan
