我不是药神, 9.6, https://maoyan.com/films/1200486,  剧情 ,         中国大陆          ,  117分钟        , 2018-07-05中国大陆上映
肖申克的救赎, 9.5, https://maoyan.com/films/1297,  剧情 ,         美国          ,  142分钟        , 1994-09-13美国上映
绿皮书, 9.5, https://maoyan.com/films/1206605,  剧情 ,         美国          ,  130分钟        , 2019-03-01中国大陆上映
海上钢琴师, 9.3, https://maoyan.com/films/1292,  剧情 ,         意大利          ,  126分钟        , 2019-11-15中国大陆上映
小偷家族, 8.1, https://maoyan.com/films/1216365,  剧情 ,         日本          ,  117分钟        , 2018-08-03中国大陆上映
哪吒之魔童降世, 9.6, https://maoyan.com/films/1211270,  动画 ,         中国大陆          ,  110分钟        , 2019-07-26中国大陆上映
霸王别姬, 9.3, https://maoyan.com/films/1203,  剧情 ,         中国大陆,中国香港          ,  171分钟        , 1993-07-26中国大陆上映
美丽人生, 9.3, https://maoyan.com/films/1303,  战争 ,         意大利          ,  116分钟        , 2020-01-03中国大陆上映
这个杀手不太冷, 9.4, https://maoyan.com/films/4055,  剧情 ,         法国          ,  110分钟        , 1994-09-14法国上映
盗梦空间, 9.0, https://maoyan.com/films/416,  剧情 ,         美国,英国          ,  148分钟        , 2010-09-01中国大陆上映
怦然心动, 8.9, https://maoyan.com/films/46818,  剧情 ,         美国          ,  90分钟        , 2010-07-26美国上映
阿甘正传, 9.4, https://maoyan.com/films/1633,  剧情 ,         美国          ,  142分钟        , 1994-07-06美国上映
千与千寻, 9.3, https://maoyan.com/films/1212,  动画 ,         日本          ,  125分钟        , 2019-06-21中国大陆上映
星际穿越, 9.3, https://maoyan.com/films/78341,  剧情 ,         美国          ,  169分钟        , 2014-11-12中国大陆上映
楚门的世界, 8.9, https://maoyan.com/films/1304,  剧情 ,         美国          ,  103分钟        , 1998-06-01美国上映
触不可及, 9.1, https://maoyan.com/films/70976,  剧情 ,         法国          ,  112分钟        , 2011-11-02法国上映
辛德勒的名单, 9.2, https://maoyan.com/films/3667,  剧情 ,         美国          ,  195分钟        , 1993-11-30美国上映
寻梦环游记, 9.6, https://maoyan.com/films/342068,  动画 ,         美国          ,  105分钟        , 2017-11-24中国大陆上映
摔跤吧！爸爸, 9.8, https://maoyan.com/films/588362,  喜剧 ,         印度          ,  140分钟        , 2017-05-05中国大陆上映
情书, 8.8, https://maoyan.com/films/1319,  剧情 ,         日本          ,  116分钟        , 2021-05-20 08:00中国大陆重映
少年派的奇幻漂流, 9.0, https://maoyan.com/films/995,  剧情 ,         美国,中国台湾,英国,加拿大          ,  127分钟        , 2012-11-22中国大陆上映
何以为家, 9.3, https://maoyan.com/films/1218727,  剧情 ,         黎巴嫩          ,  116分钟        , 2019-04-29中国大陆上映
小丑, 8.6, https://maoyan.com/films/1215201,  剧情 ,         美国          ,  122分钟        , 2019-10-04美国上映
忠犬八公的故事, 9.3, https://maoyan.com/films/38286,  剧情 ,         美国,英国          ,  93分钟        , 2009-06-13美国上映
泰坦尼克号, 9.4, https://maoyan.com/films/267,  剧情 ,         美国          ,  194分钟        , 1998-04-03中国大陆上映
当幸福来敲门, 9.3, https://maoyan.com/films/899,  剧情 ,         美国          ,  117分钟        , 2008-01-17中国大陆上映
三傻大闹宝莱坞, 9.1, https://maoyan.com/films/43,  剧情 ,         印度          ,  171分钟        , 2011-12-08中国大陆上映
天堂电影院, 9.3, https://maoyan.com/films/718,  剧情 ,         意大利          ,  124分钟        , 2021-06-11 08:00中国大陆上映
放牛班的春天, 8.8, https://maoyan.com/films/1205,  剧情 ,         法国,德国,瑞士          ,  97分钟        , 2004-10-16中国大陆上映
龙猫, 9.2, https://maoyan.com/films/123,  动画 ,         日本          ,  86分钟        , 2018-12-14中国大陆上映
熔炉, 8.8, https://maoyan.com/films/67214,  剧情 ,         韩国          ,  125分钟        , 2011-09-22韩国上映
教父, 9.3, https://maoyan.com/films/1247,  剧情 ,         美国          ,  175分钟        , 2015-04-18中国大陆上映
看不见的客人, 9.4, https://maoyan.com/films/458721,  犯罪 ,         西班牙          ,  106分钟        , 2017-09-15中国大陆上映
头号玩家, 9.0, https://maoyan.com/films/341178,  动作 ,         美国          ,  140分钟        , 2018-03-30中国大陆上映
被嫌弃的松子的一生, 8.5, https://maoyan.com/films/20394,  剧情 ,         日本          ,  130分钟        , 2006-05-27日本上映
活着, 9.0, https://maoyan.com/films/1375,  剧情 ,         中国大陆,中国香港          ,  132分钟        , 1994-06-30中国香港上映
三块广告牌, 8.6, https://maoyan.com/films/342754,  剧情 ,         美国          ,  115分钟        , 2018-03-02中国大陆上映
请以你的名字呼唤我, 8.0, https://maoyan.com/films/409801,  剧情 ,         意大利,法国,巴西,美国,荷兰,德国          ,  132分钟        , 2018-01-25意大利上映
死亡诗社, 8.7, https://maoyan.com/films/1204,  剧情 ,         美国          ,  128分钟        , 1989-06-02美国上映
机器人总动员, 9.3, https://maoyan.com/films/488,  喜剧 ,         美国          ,  98分钟        , 2008-06-27美国上映
闻香识女人, 8.8, https://maoyan.com/films/6289,  剧情 ,         美国          ,  157分钟        , 1992-12-23美国上映
复仇者联盟4：终局之战, 9.1, https://maoyan.com/films/248172,  动作 ,         美国          ,  181分钟        , 2019-04-24中国大陆上映
疯狂动物城, 9.5, https://maoyan.com/films/246286,  动画 ,         美国          ,  109分钟        , 2016-03-04中国大陆上映
末代皇帝, 8.8, https://maoyan.com/films/2039,  剧情 ,         英国,意大利,中国大陆,法国,美国          ,  163分钟        , 1988-02-25英国上映
西西里的美丽传说, 8.2, https://maoyan.com/films/1284164,  剧情 ,         意大利,美国          ,  109分钟        , 2000-10-26意大利上映
